LONG,LAT,IGNORE4,NAME,PHONE,AVAILABILITY,NOTES,STATE,REGION,AREA
-134.587,58.411,MEND,Mendenhall Lake,907.586.8800/907.225.3101,mid may-mid sep,,AK,NW,Juneau
-143.543,63.374,MOON,Moon Lake State Rec Area,,,,AK,W,Tanacross
-150.863,60.5,MORG,Morgans Landing State Rec Area,907.262.5581,,,AK,SW,Sterling
-136.026,59.453,MOSQ,Mosquito Lake State Rec Area,,,,AK,NW,Haines
-146.621,65.356,MOUP,Mount Prindle - Steese Hwy,,,,AK,,
-150.027,61.708,NANC,Nancy Lake State Rec Area,907.745.3975,,,AK,W,Sutton
-151.668,60.051,NINI,Ninilchik State Rec Area,907.262.5581,,,AK,E,Ninilchik
-132.741,56.58,OHME,Ohmer Creek,907.772.5826/907.225.3101,,take ferry,AK,SE,Petersburg
-147.088,65.37,OPHI,Ophir Creek - Steese Hwy,,,,AK,,
-145.535,62.868,PAXS,Paxson Lake,907.822.3217,,,AK,N,Gakona
-143.868,62.729,PORC,Porcupine Creek State Rec Area,907.822.3973,,,AK,NE,Slana
-149.664,60.931,PORT,Porcupine Trailhead,907.224.3374/907.743.9500,early jun-late aug,,AK,NW,Hope
-149.369,60.341,PRIM,Primrose Trailhead,907.224.3374/907.743.9500,,,AK,N,Seward
-149.362,60.407,PTAR,Ptarmigan Creek Trailhead,907.224.3374/907.743.9500,early jun-late aug,,AK,N,Seward
-149.728,60.479,QUAC,Quartz Creek,907.224.3374/907.743.9500,early jun-late aug,,AK,E,Cooper Landing
-145.827,64.198,QUAR,Quartz Lake State Rec Area,907.451.2695,,,AK,N,Delta Junction
-148.894,63.73,RILE,Riley Creek - Denali National Park,800.622.7275,,,AK,,
-149.822,61.558,ROCK,Rocky Lake State Rec Area,907.317.9094.,,,AK,W,Wasilla
-149.974,60.484,RUSS,Russian River Complex,907.224.3374/907.743.9500,early jun-late aug,,AK,W,Cooper Landing
-146.937,64.469,SALC,Salcha River State Rec Area,,,,AK,E,Salcha
-149.294,63.74,SAVA,Savage River - Denali National Park,800.622.7275,,,AK,,
-135.207,57.062,SAWM,Sawmill Creek,907.747.4236/907.225.3101,,take ferry,AK,E,Sitka
-131.726,55.511,SETT,Settlers Cove State Rec Area,,,,AK,N,Ketchikan
-131.698,55.409,SIGN,Signal Creek,907.225.2148/907.225.3101,mid apr-late aug,,AK,NW,Ketchikan
-145.52,62.528,SOUR,Sourdough Creek,907.822.3217,,,AK,NW,Gakona
-145.174,61.665,SQUI,Squirrel Creek State Rec Area,907.745.3975,,,AK,S,Copper Center
-151.812,59.843,STAR,Stariski State Rec Area,,,,AK,N,Anchor Point
-135.369,57.133,STAR,Starrigavan,907.747.4236/907.225.3101,all year,take ferry,AK,N,Sitka
-146.012,63.052,TANG,Tangle Lakes,907.822.3217,,,AK,,
-149.576,63.671,TEKL,Teklanika  River - Denali National Park,800.622.7275,,,AK,SW,Healy
-149.497,60.636,TEND,Tenderfoot Creek,907.224.3374/907.743.9500,early jun-late aug,,AK,NW,Moose Pass
-149.557,60.531,TERN,Tern Lake,,,,AK,NW,Moose Pass
-142.839,63.325,TOKR,Tok River State Rec Area,907.451.2405,,,AK,E,Tok
-149.381,60.416,TRAI,Trail River,907.224.3374/907.743.9500,early jun-late aug,,AK,S,Moose Pass
-147.257,65.192,UPPC,Upper Chatanika River State Rec Area,907.451.2695,,,AK,NE,Fairbanks
-150.319,60.438,UPPS,Upper Skilak,907.262.5581,,,AK,W,Cooper Landing
-146.214,61.138,VALD,Valdez Glacier,907.873.4058,,,AK,E,Valdez
-141.633,64.077,WALK,Walker Fork - Taylor Hwy,907.883.5121,,,AK,E,Chicken
-142.229,63.886,WESF,West Fork - Taylor Hwy,907.883.5121,,,AK,,
-147.73,65.087,WHIT,Whitefish - Lower Chatanika State Rec Area,,,,AK,N,Fairbanks
-148.88,60.786,WILW,Williwaw,907.783.3242/907.743.9500,early jun-late aug,,AK,SE,Girdwood
-150.058,61.753,WILL,Willow Creek State Rec Area,907.745.3975,,,AK,SW,Willow
-124.23,40.269,AWWA,A.W. Way County Park,707.445.7651,,Nice out of the way park - Halfway along beautiful drive called Patrolia Loop,CA,S,Ferndale
-122.771,40.786,ACKE,Ackerman,530.275.1587/530.226.2500,,,CA,N,Lewiston
-120.798,38.177,ACOR,Acorn - New Hogan Lake,209.772.1343,all year,,CA,SE,Valley Springs
-120.52,37.978,ACOR,Acorn - Tuttletown Area - New Melones Lake,209.536.9094,,,CA,,Sonora
-117.408,34.576,ADEL,Adelanto City Park,,,,CA,S,Adelanto
-117.103,32.792,ADMI,Admiral Baker Military - San Diego NS,619.487.0090,,military only - do not use our lat/lon - contact them for directions and info,CA,NE,San Diego
-119.112,37.804,AERI,Aerie Crag RV Camp,760.647.3045/760.873.2400,,no tents,CA,NW,June Lake
-116.384,35.038,AFTO,Afton Canyon,760.252.6000,all year,4 wheel drive required,CA,SW,Baker
-119.09,37.682,AGNE,Agnew Meadows,760.924.5500/760.873.2400,,,CA,W,Mammoth Lakes
-116.302,32.95,AGUA,Agua Caliente,760.765.1188,,hot springs - res: 877.565.3600,CA,NW,Ocotillo
-122.097,41.11,AHDI,Ah - Di - Na,530.926.4511/530.226.2500,,No RVs,CA,E,Castella
-120.406,39.146,AHAR,Ahart,530.367.2224/530.265.4531,,,CA,E,Foresthill
-123.647,40.226,AIKE,Aikens Creek,530.627.3291/707.442.1721,,,CA,,
-120.38,38.985,AIRP,Airport Flat,530.644.2349/530.622.5061,mid may-mid oct,,CA,NE,Pollock Pines
-118.108,36.595,ALAB,Alabama Hills Rec Area,,,dispersed - off Movie Flat Rd - no facil,CA,W,Lone Pine
-121.889,37.659,ALAM,Alameda County Fairgrounds RV,,,,CA,W,Pleasanton
-124.009,40.353,ALBE,Albee Creek State Park,707.946.2472,,,CA,NW,Weott
-118.612,35.72,ALDC,Alder Creek,760.379.5646/559.784.1500,,,CA,E,Glennville
-121.495,40.21,ALDE,Alder Creek,530.258.2141/530.257.2151,,,CA,,
-121.883,41.256,ALGO,Algoma,530.926.4511/530.226.2500,,,CA,E,Mccloud
-119.768,34.908,ALIS,Aliso Park,661.245.3731/805.961.5778,,,CA,,
-121.177,40.217,ALMA,Almanor,530.258.2141/530.257.2151,early may-late sep,,CA,SE,Chester
-120.121,39.323,ALPM,Alpine Meadows,530.587.8113,,,CA,E,Truckee
-122.766,40.887,ALPI,Alpine View,530.275.1587/530.226.2500,,,CA,SW,Trinity Center
-115.781,34.557,AMBO,Amboy Crater,,,shade at tables only,CA,W,Amboy
-120.266,35.284,AMER,American Canyon,805.925.9538/805.961.5778,,,CA,E,San Luis Obisp
-121.833,36.283,ANDR,Andrew Molera State Park,831.667.2315,,long walk to sites,CA,NW,Big Sur
-118.177,34.726,ANTE,Antelope Valley Fairgrounds RV Park,661.206.0427,,no tents,CA,NW,Lancaster
-122.105,37.759,ANTH,Anthony Chabot Regional Park,888.327.2757,,,CA,E,Oakland
-122.381,40.886,ANTL,Antlers,530.275.1587/530.226.2500,all year,,CA,S,Lakehead
-117.717,34.389,APPL,Appletree,661.296.9710/626.574.1613,,,CA,NW,Big Pines
-117.493,34.26,APPW,Applewhite,909.382.2850/909.382.2600,,,CA,E,Lytle Creek
-122.119,40.765,ARBU,Arbuckle Flat,530.275.1587/530.226.2500,,,CA,NE,Bella Vista
-121.483,36.235,ARRO,Arroyo Seco,831.385.5434/805.961.5778,all year,,CA,SW,Greenfield
-122.06,41.117,ASHC,Ash Camp,530.926.4511/530.226.2500,,,CA,E,Castella
-120.828,41.161,ASHK,Ash Creek,530.299.3215/530.233.5811,all year,,CA,E,Adin
-119.188,37.939,ASPN,Aspen,760.647.3045/760.873.2400,,,CA,W,Lee Vining
-120.772,40.556,ASPE,Aspen Grove,530.257.4188/530.257.2151,,,CA,NW,Susanville
-118.668,36.464,ATWE,Atwell Mill - Sequoia National Park,559.565.3341,,Tent only,CA,SE,Grant Grove
-123.011,38.566,AUST,Austin Creek State Rec Area,707.869.2015,,,CA,N,Guerneville
-118.457,35.652,AUXI,Auxiliary Dam,760.379.5646/559.784.1500,,dispersed,CA,N,Lake Isabella
-118.966,36.742,AZAL,Azalea - Sequoia and Kings Canyon National Park,559.565.3341,,3 campgrounds,CA,SE,Grant Grove
-119.116,37.269,BADG,Badger Flat,559.855.5355/559.297.0706,,,CA,E,Lakeshore
-120.136,37.61,BAGB,Bagby Rec Area,,,,CA,SE,Coulterville
-123.4,40.341,BAIC,Bailey Canyon,707.574.6233/707.442.1721,,,CA,SE,Mad River
-122.319,40.8,BAIL,Bailey Cove,530.275.1587/530.226.2500,all year,,CA,SE,Lakehead
-119.752,38.324,BAKE,Baker,209.965.3434/209.533.3671,,,CA,NE,Mi-Wuk
-118.308,37.169,BACC,Baker Creek,760.873.5577,,,CA,W,Big Pine
-118.675,36.223,BALC,Balch Park,559.624.7000,mid may-mid oct,,CA,NE,Springville
-118.888,37.79,BALD,Bald Mountain Springs,760.647.3045/760.873.2400,,dispersed,CA,,
-119.444,34.883,BALL,Ballinger,661.245.3731/805.961.5778,,,CA,S,Maricopa
-120.141,34.9,BARR,Barrel Springs,805.925.9538/805.961.5778,,,CA,E,Santa Maria
-120.288,37.642,BART,Barrett Cove Rec Area,,,,CA,E,La Grange
-116.874,34.171,BARF,Barton Flats,909.382.2790/909.382.2600,early may-late oct,,CA,E,Angelus Oaks
-121.063,37.031,BASA,Basalt State Rec Area - San Luis Reservoir,209.826.1197,,,CA,S,Gustine
-122.959,40.352,BASG,Basin Gulch,530.628.5227/530.226.2500,,,CA,W,Platina
-119.907,34.955,BATE,Bates Canyon,805.925.9538/805.961.5778,,,CA,E,Santa Maria
-121.627,40.348,BATT,Battle Creek,530.258.2141/530.257.2151,,,CA,W,Mineral
-120.099,38.945,BAYV,Bayview,530.543.2600/530.543.2600,,,CA,W,South Lake Tahoe
-121.385,39.13,BEAL,Beale AFB Military,530.634.3382,,voted best - military only - do not use our lat/lon - contact them for directions and info,CA,NW,Beale Afb
-121.172,38.719,BEAP,Beals Point - Folsom Lake State Rec Area,916.988.0205,,,CA,N,Folsom
-123.612,41.444,BEAN,Beans Camp,530.627.3291/707.442.1721,,,CA,,
-118.631,34.713,BEAR,Bear,661.296.9710/626.574.1613,,,CA,W,Lake Hughes
-122.837,39.322,BEAC,Bear Creek,707.275.2361/530.934.3316,,,CA,N,Upper Lake
-120.989,39.084,BERC,Bear River County Park,530.886.4901,mid jun-mid oct,,CA,SW,Colfax
-120.235,39.557,BEAL,Bear Valley,530.994.3401/530.265.4531,,,CA,E,Sierraville
-120.075,38.21,BEAD,Beardsley Dam,209.965.3434/209.533.3671,,,CA,,
-122.829,41.927,BEVR,Beaver Creek,530.493.2243/530.842.6131,,,CA,N,Klamath River
-122.405,40.848,BEEH,Beehive Point,,mid apr-mid sep,little info,CA,S,Lakehead
-118.6,36.142,BELK,Belknap,559.539.2607/559.784.1500,mid may-late oct,No RVs,CA,E,Springville
-116.02,34.002,BELL,Belle - Joshua Tree National Park,760.367.5500,,,CA,,
-123.785,40.061,BENB,Benbow Lake State Rec Area,707.923.3238,mid may-late dec,,CA,S,Garberville
-121.269,40.395,BENC,Benner Creek,,,,CA,N,Chester
-120.643,39.628,BERG,Berger Creek,530.288.3231/530.265.4531,early jun-mid oct,,CA,,
-121.946,39.718,BIDW,Bidwell - Sacramento River State Park,530.342.5185,,,CA,W,Chico
-121.459,39.533,BIDC,Bidwell Canyon - Lake Oroville State Rec Area,530.538.2200,all year,,CA,E,Oroville
-123.252,40.738,BIGR,Big Bar,530.623.2121/530.226.2500,,,CA,S,Big Bar
-122.221,37.169,BIG3,Big Basin Redwoods State Park,831.338.8860,early mar-late dec,,CA,NW,Boulder Creek
-116.879,34.235,BIGB,Big Bear Military,909.866.3965,,military only - do not use our lat/lon - contact them for directions and info,CA,SW,Big Bear
-119.202,37.945,BIGN,Big Bend,760.647.3045/760.873.2400,,,CA,W,Lee Vining
-120.52,39.307,BIGB,Big Bend - Soda Springs,,,,CA,W,Soda Springs
-120.174,39.902,BIGC,Big Cove Family,530.836.2575/530.283.2050,mid may-late aug,,CA,N,Chilcoot
-123.203,40.739,BIGF,Big Flat,530.623.2121/530.226.2500,,,CA,W,Junction City
-123.908,41.688,BIGL,Big Flat,707.457.3131/707.442.1721,,,CA,E,Crescent City
-124.131,41.164,BIG4,Big Lagoon County Park,,,Toilets/shower house sometimes locked - must use port-a-potty,CA,N,Trinidad
-120.106,38.417,BIG2,Big Meadow,209.795.1381/209.533.3671,early jun-late aug,,CA,NE,Arnold
-118.82,36.721,BIGW,Big Meadow,559.338.2251/559.784.1500,,,CA,,
-118.714,37.511,BIGM,Big Meadows,760.873.2500/760.873.2400,mid jun-mid sep,,CA,SE,Mammoth Lakes
-120.425,39.075,BIME,Big Meadows,530.333.4312/530.622.5061,mid may-mid oct,,CA,E,Foresthill
-120.538,38.004,BIGO,Big Oak - Glory Hole Area - New Melones Lake,209.536.9094,,,CA,,Angels Camp
-118.433,37.126,BIGI,Big Pine,760.873.2500/760.873.2400,mid may-mid sep,,CA,W,Big Pine
-121.466,40.634,BIGP,Big Pine,530.336.5521/530.257.2151,,,CA,SW,Old Station
-117.012,34.32,BIGA,Big Pine Flat,909.382.2790/909.382.2600,,,CA,NW,Big Bear Lake
-118.289,37.173,BPTP,Big Pine Triangle Park,,,,CA,N,Big Pine
-120.754,39.144,BIGE,Big Reservoir,530.367.2224/530.265.4531,,,CA,N,Foresthill
-117.777,34.388,BIGR,Big Rock,661.296.9710/626.574.1613,mid may-mid nov,,CA,SE,Pearblossom
-120.628,41.579,BIGS,Big Sage,530.667.2246/530.233.5811,mid may-mid oct,,CA,NW,Alturas
-119.582,37.468,BIGY,Big Sandy,559.877.2218/559.297.0706,,,CA,N,Oakhurst
-123.497,40.665,BIGD,Big Slide,530.628.5227/530.226.2500,,,CA,NW,Hyampom
-118.94,37.749,BIGG,Big Springs,760.647.3045/760.873.2400,,,CA,N,Mammoth Lakes
-118.578,37.265,BIGT,Big Trees,760.873.2500/760.873.2400,mid may-mid sep,,CA,SW,Bishop
-119.227,37.238,BILL,Billy Creek - Lower,559.855.5355/559.297.0706,,,CA,W,Lakeshore
-119.227,37.239,BILU,Billy Creek - Upper,559.855.5355/559.297.0706,,,CA,W,Lakeshore
-120.332,40.546,BISC,Biscar Reservoir,530.257.0456,,no facilities,CA,NE,Susanville
-118.597,37.244,BISH,Bishop Park,760.873.2500/760.873.2400,mid may-mid sep,,CA,SW,Bishop
-118.558,37.287,BITT,Bitterbrush,760.873.2500/760.873.2400,,,CA,SW,Bishop
-121.712,40.184,BLAC,Black Rock,530.258.2141/530.257.2151,,,CA,,
-119.026,36.921,BLAM,Black Rock - Trimmer,,,,CA,SE,Shaver Lake
-116.388,34.076,BLAR,Black Rock Canyon - Joshua Tree National Park,760.367.5500,,,CA,SE,Yucca Valley
-121.01,39.73,BLAT,Black Rock Tent(Family ),530.534.6500/530.283.2050,mid may-mid oct,,CA,NW,La Porte
-121.57,41.557,BLAN,Blanche Lake,530.667.2246/530.233.5811,mid jul-mid oct,,CA,,
-119.811,38.524,BLO2,Bloomfield 2,209.795.1381/209.533.3671,,,CA,NE,Arnold
-119.824,38.538,BLO1,Bloomfield I,209.795.1381/209.533.3671,,,CA,NE,Arnold
-117.45,33.653,BLUJ,Blue Jay,909.736.1811/626.574.1613,,,CA,W,Lake Elsinore
-120.28,41.143,BLUL,Blue Lake,530.279.6116/530.233.5811,mid may-mid oct,,CA,SE,Likely
-120.463,37.664,BLUO,Blue Oaks,,,,CA,E,Modesto
-122.509,39.07,BLUK,Blue Oaks,,,unknown facil,CA,W,Williams
-120.433,37.705,BLOK,Blue Oaks - Don Pedro Rec Area,,,,CA,NE,La Grange
-118.758,34.53,BLUP,Blue Point,,,,CA,W,Castaic
-117.688,34.36,BLUE,Blue Ridge,661.296.9710/626.574.1613,mid may-mid oct,,CA,W,Wrightwood
-117.562,33.374,BLUF,Bluffs - San Onofre State Beach,,all year,,CA,SE,San Clemente
-120.234,38.301,BOAR,Boards Crossing,209.795.1381/209.533.3671,,,CA,,
-116.556,32.713,BOBC,Bobcat Meadow,619.445.6235/626.574.1613,,,CA,S,Pine Valley
-120.104,39.395,BOCA,Boca,530.587.3558/530.265.4531,mid may-late sep,,CA,NE,Truckee
-120.086,39.42,BOCR,Boca Rest,530.587.3558/530.265.4531,mid may-late sep,,CA,NE,Truckee
-120.075,39.429,BOCS,Boca Springs,530.587.3558/530.265.4531,mid may-late sep,,CA,NE,Truckee
-123.054,38.341,BODE,Bodega Dunes - Sonoma Coast State Park,707.875.3483,all year,,CA,NW,Bodega Bay
-121.098,40.575,BOGA,Bogard,530.257.4188/530.257.2151,,,CA,NW,Susanville
-116.953,33.982,BOGP,Bogart Park,951.955.4310,,,CA,NE,Cherry Valley
-117.794,34.086,BOHE,Bohelli Regional Park,909.599.8411,,,CA,SE,San Dimas
-123.658,40.945,BOIS,Boise Creek,530.629.2118/707.442.1721,mid may-mid oct,,CA,W,Willow Creek
-118.044,33.692,BOLS,Bolsa Chica State Beach,,all year,,CA,NW,Huntington Beach
-115.739,33.351,BOMB,Bombay Beach  - Salton Sea State Rec Area,760.393.3052,early jun-late dec,closed indef. due to budget,CA,NW,Niland
-119.452,38.424,BOOT,Bootleg,760.932.7070/775.331.6444,,,CA,S,Coleville
-116.406,33.269,BORR,Borrego Palm Canyon  - Anza Borrego Desert State Park,760.767.4205,,,CA,NW,Borrego Springs
-122.535,38.546,BOTH,Bothe - Napa Valley State Park,707.942.4575,all year,,CA,SE,Calistoga
-121.813,36.354,BOTT,Bottchers Gap,831.385.5434/805.961.5778,,,CA,SE,Carmel
-119.169,37.93,BOUL,Boulder,760.647.3045/760.873.2400,,,CA,SW,Lee Vining
-116.756,33.826,BOUB,Boulder Basin,909.382.2922/909.382.2600,early jun-late aug,No RVs,CA,N,Idyllwild
-120.618,40.195,BOUC,Boulder Creek,530.283.0555/530.283.2050,early jun-late aug,,CA,NE,Taylorsville
-119.861,38.355,BOUF,Boulder Flat,209.965.3434/209.533.3671,,,CA,NE,Mi-Wuk
-118.469,35.673,BOUG,Boulder Gulch,760.379.5646/559.784.1500,mid may-mid sep,,CA,N,Lake Isabella
-116.483,32.729,BOUO,Boulder Oaks,619.445.6235/626.574.1613,,,CA,SE,Pine Valley
-116.225,32.842,BOWW,Bow Willow - Anza Borrego State Park,760.767.5311,,dispersed,CA,S,Borrego Spring
-115.977,33.587,BOXC,Box Canyon Dispersed,760.833.7100,,interesting desert area - flash floods - no facilities - dispersed,CA,E,Mecca
-123.394,40.314,BOYS,Boy Scout Cove - Ruth Lake,707.574.6196,,,CA,SE,Mad River
-120.089,39.438,BOYI,Boyington Mill,530.587.3558/530.265.4531,mid may-late sep,,CA,NE,Truckee
-117.923,34.823,BRAN,Branch Park - Edwards AFB,661.275.2267,all year,Tent only - few tables - no designated sites - by pond,CA,NE,Lancaster
-122.576,40.618,BRAN,Brandy Creek RV,530.242.3412,all year,self-contained only,CA,W,Redding
-121.694,38.111,BRAI,Brannan Island State Rec Area,916.777.6671,all year,,CA,S,Rio Vista
-118.584,35.469,BREC,Breckenridge,760.379.5646/559.784.1500,,No RVs,CA,N,Caliente
-119.241,37.038,BRET,Bretz,559.855.5355/559.297.0706,,,CA,SE,Shaver Lake
-119.624,37.663,BRIV,Bridalveil Creek - Yosemite National Park,209.372.0200,,,CA,,
-121.437,40.73,BRID,Bridge,530.336.5521/530.257.2151,,,CA,N,Old Station
-122.915,40.873,BRIC,Bridge Camp,530.275.1587/530.226.2500,,,CA,N,Weaverville
-123.113,41.65,BRIF,Bridge Flat,530.468.5351/530.842.6131,,river swimming,CA,W,Ft. Jones
-119.849,38.353,BRIG,Brightman,209.965.3434/209.533.3671,,,CA,NE,Mi-Wuk
-118.537,35.103,BRIT,Brite Lake,,,,CA,W,Tehachapi
-118.396,37.346,BRON,Browns Town,760.873.8522,,,CA,S,Bishop
-118.396,37.346,BROW,Browns Town CG (Concession),760-873-8522,,,CA,,Bishop
-119.06,37.009,BUCM,Buck Meadow,559.855.5355/559.297.0706,,,CA,SE,Shaver Lake
-118.854,36.722,BUCR,Buck Rock,559.338.2251/559.784.1500,,,CA,,
-119.348,38.237,BUCE,Buckeye,760.932.7070/775.331.6444,,,CA,W,Bridgeport
-118.764,36.521,BUCF,Buckeye Flat - Sequoia National Park,559.565.3341,,Tent only,CA,NE,Three Rivers
-117.913,34.346,BUCK,Buckhorn,818.899.1900/626.574.1613,,may be closed-check first,CA,NE,La Canada
-122.362,39.811,BUCA,Buckhorn Rec Area,530.865.4781,all year,,CA,NW,Orland
-119.261,35.229,BUEN,Buena Vista Aquatic Rec Area,661.868.7000,,,CA,SW,Bakersfield
-121.13,39.452,BULS,Bullards Lakeshore,530.288.3231/530.265.4531,,no failities,CA,W,Camptonville
-121.573,41.554,BULL,Bullseye Lake,530.667.2246/530.233.5811,mid may-mid oct,,CA,NE,McCloud
-123.909,40.309,BURL,Burlington - Humboldt Redwoods State Park,707.946.1811,,,CA,SE,Weott
-123.482,40.828,BURN,Burnt Ranch,530.623.2121/530.226.2500,,,CA,,
-116.421,32.861,BURR,Burnt Rancheria,619.445.6235/626.574.1613,mid apr-mid oct,,CA,NE,Pine Valley
-123.166,39.23,BUSH,Bushay,707.467.4200,early may-late aug,,CA,N,Ukiah
-122.817,40.854,BUST,Bushytail,530.275.1587/530.226.2500,mid may-late oct,,CA,SW,Trinity Center
-122.326,37.232,BUTA,Butano State Park,650.879.2040,mid may-late dec,,CA,SE,Pescadero
-121.297,40.611,BUTT,Butte Creek,530.257.4188/530.257.2151,,,CA,,
-121.304,40.564,BUTL,Butte Lake - Lassen Volcanic National Park,530.595.6121,early jun-mid oct,,CA,SE,Old Station
-121.559,40.078,BUTM,Butte Meadows,530.258.2141/530.257.2151,,,CA,SW,Chester
-114.892,32.725,BUTT,ButtercupÂ Â OHV,760.337.4400,,paved road- toilets- dumpsters,CA,W,Winterhaven
-119.23,34.869,CABA,Caballo,661.245.3731/805.961.5778,,,CA,SE,Maricopa
-117.7,34.333,CABI,Cabin Flat,661.296.9710/626.574.1613,,Tent only,CA,S,Big Pines
